brand,model,category,release_year,ram,cpu,screen_size,refresh_rate,main_camera,front_camera,battery_capacity,charging_speed,operating_system,case_size,case_material,band_material,display_type,water_resistance,battery_life,connectivity,compatible_os,accessory_type,compatibility,material,color,connector_type,warranty
Apple,iPhone X,Phone,2017,3GB,A11 Bionic,5.8 inches,60Hz,12MP+12MP (Wide+Telephoto),7MP,2716mAh,18W,iOS 11,,,,,,,,,,,,,,
Apple,iPhone XS,Phone,2018,4GB,A12 Bionic,5.8 inches,60Hz,12MP+12MP (Wide+Telephoto),7MP,2658mAh,18W,iOS 12,,,,,,,,,,,,,,
Apple,iPhone XS Max,Phone,2018,4GB,A12 Bionic,6.5 inches,60Hz,12MP+12MP (Wide+Telephoto),7MP,3174mAh,18W,iOS 12,,,,,,,,,,,,,,
Apple,iPhone XR,Phone,2018,3GB,A12 Bionic,6.1 inches,60Hz,12MP (Wide),7MP,2942mAh,18W,iOS 12,,,,,,,,,,,,,,
Apple,iPhone 11,Phone,2019,4GB,A13 Bionic,6.1 inches,60Hz,12MP+12MP (Wide+Ultra Wide),12MP,3110mAh,18W,iOS 13,,,,,,,,,,,,,,
Apple,iPhone 11 Pro,Phone,2019,4GB,A13 Bionic,5.8 inches,60Hz,12MP+12MP+12MP (Wide+Ultra Wide+Telephoto),12MP,3046mAh,18W,iOS 13,,,,,,,,,,,,,,
Apple,iPhone 11 Pro Max,Phone,2019,4GB,A13 Bionic,6.5 inches,60Hz,12MP+12MP+12MP (Wide+Ultra Wide+Telephoto),12MP,3969mAh,18W,iOS 13,,,,,,,,,,,,,,
Apple,iPhone SE (2020),Phone,2020,3GB,A13 Bionic,4.7 inches,60Hz,12MP (Wide),7MP,1821mAh,18W,iOS 13,,,,,,,,,,,,,,
Apple,iPhone 12,Phone,2020,4GB,A14 Bionic,6.1 inches,60Hz,12MP+12MP (Wide+Ultra Wide),12MP,2815mAh,20W,iOS 14,,,,,,,,,,,,,,
Apple,iPhone 12 mini,Phone,2020,4GB,A14 Bionic,5.4 inches,60Hz,12MP+12MP (Wide+Ultra Wide),12MP,2227mAh,20W,iOS 14,,,,,,,,,,,,,,
Apple,iPhone 12 Pro,Phone,2020,6GB,A14 Bionic,6.1 inches,60Hz,12MP+12MP+12MP (Wide+Ultra Wide+Telephoto) + LiDAR,12MP,2815mAh,20W,iOS 14,,,,,,,,,,,,,,
Apple,iPhone 12 Pro Max,Phone,2020,6GB,A14 Bionic,6.7 inches,60Hz,12MP+12MP+12MP (Wide+Ultra Wide+Telephoto) + LiDAR,12MP,3687mAh,20W,iOS 14,,,,,,,,,,,,,,
Apple,iPhone 13,Phone,2021,4GB,A15 Bionic,6.1 inches,60Hz,12MP+12MP (Wide+Ultra Wide),12MP,3227mAh,20W,iOS 15,,,,,,,,,,,,,,
Apple,iPhone 13 mini,Phone,2021,4GB,A15 Bionic,5.4 inches,60Hz,12MP+12MP (Wide+Ultra Wide),12MP,2406mAh,20W,iOS 15,,,,,,,,,,,,,,
Apple,iPhone 13 Pro,Phone,2021,6GB,A15 Bionic,6.1 inches,120Hz,12MP+12MP+12MP (Wide+Ultra Wide+Telephoto) + LiDAR,12MP,3095mAh,20W,iOS 15,,,,,,,,,,,,,,
Apple,iPhone 13 Pro Max,Phone,2021,6GB,A15 Bionic,6.7 inches,120Hz,12MP+12MP+12MP (Wide+Ultra Wide+Telephoto) + LiDAR,12MP,4352mAh,20W,iOS 15,,,,,,,,,,,,,,
Apple,iPhone 14,Phone,2022,6GB,A15 Bionic,6.1 inches,60Hz,12MP+12MP (Wide+Ultra Wide),12MP,3279mAh,20W,iOS 16,,,,,,,,,,,,,,
Apple,iPhone 14 Plus,Phone,2022,6GB,A15 Bionic,6.7 inches,60Hz,12MP+12MP (Wide+Ultra Wide),12MP,4325mAh,20W,iOS 16,,,,,,,,,,,,,,
Apple,iPhone 14 Pro,Phone,2022,6GB,A16 Bionic,6.1 inches,120Hz,48MP+12MP+12MP (Wide+Ultra Wide+Telephoto),12MP,3200mAh,20W,iOS 16,,,,,,,,,,,,,,
Apple,iPhone 14 Pro Max,Phone,2022,6GB,A16 Bionic,6.7 inches,120Hz,48MP+12MP+12MP (Wide+Ultra Wide+Telephoto),12MP,4323mAh,20W,iOS 16,,,,,,,,,,,,,,
Apple,iPhone 15,Phone,2023,6GB,A16 Bionic,6.1 inches,60Hz,48MP+12MP (Wide+Ultra Wide),12MP,3349mAh,20W,iOS 17,,,,,,,,,,,,,,
Apple,iPhone 15 Plus,Phone,2023,6GB,A16 Bionic,6.7 inches,60Hz,48MP+12MP (Wide+Ultra Wide),12MP,4383mAh,20W,iOS 17,,,,,,,,,,,,,,
Apple,iPhone 15 Pro,Phone,2023,8GB,A17 Pro,6.1 inches,120Hz,48MP+12MP+12MP (Wide+Ultra Wide+3x Telephoto),12MP,3274mAh,20W,iOS 17,,,,,,,,,,,,,,
Apple,iPhone 15 Pro Max,Phone,2023,8GB,A17 Pro,6.7 inches,120Hz,48MP+12MP+12MP (Wide+Ultra Wide+5x Telephoto),12MP,4441mAh,20W,iOS 17,,,,,,,,,,,,,,
Apple,iPhone 16,Phone,2024,8GB,A18,6.1 inches,60Hz,48MP+12MP (Wide+Ultra Wide),12MP,3561mAh,20W,iOS 18,,,,,,,,,,,,,,
Apple,iPhone 16 Plus,Phone,2024,8GB,A18,6.7 inches,60Hz,48MP+12MP (Wide+Ultra Wide),12MP,4674mAh,20W,iOS 18,,,,,,,,,,,,,,
Apple,iPhone 16 Pro,Phone,2024,8GB,A18 Pro,6.3 inches,120Hz,48MP+48MP+12MP (Wide+Ultra Wide+5x Telephoto),12MP,3582mAh,25W,iOS 18,,,,,,,,,,,,,,
Apple,iPhone 16 Pro Max,Phone,2024,8GB,A18 Pro,6.9 inches,120Hz,48MP+48MP+12MP (Wide+Ultra Wide+5x Telephoto),12MP,4685mAh,25W,iOS 18,,,,,,,,,,,,,,
Apple,iPhone 16e,Phone,2025,8GB,A18,6.1 inches,60Hz,48MP (Wide),12MP,4005mAh,20W,iOS 18,,,,,,,,,,,,,,
Apple,iPhone 17,Phone,2025,8GB,A19,6.3 inches,120Hz,48MP+48MP (Wide+Ultra Wide),18MP,3692mAh,20W,iOS 26,,,,,,,,,,,,,,
Apple,iPhone 17 Air,Phone,2025,12GB,A19 Pro,6.5 inches,60Hz,48MP (Wide),18MP,3149mAh,20W,iOS 26,,,,,,,,,,,,,,
Apple,iPhone 17 Pro,Phone,2025,12GB,A19 Pro,6.3 inches,120Hz,48MP+48MP+48MP (Wide+Ultra Wide+Telephoto),18MP,3988mAh,40W,iOS 26,,,,,,,,,,,,,,
Apple,iPhone 17 Pro Max,Phone,2025,12GB,A19 Pro,6.9 inches,120Hz,48MP+48MP+48MP (Wide+Ultra Wide+Telephoto),18MP,4832mAh,40W,iOS 26,,,,,,,,,,,,,,
Apple,iPhone 17e,Phone,2026,8GB,A19,6.1 inches,60Hz,48MP (Wide),12MP,4005mAh,20W,iOS 26,,,,,,,,,,,,,,
Apple,iPad Air,Tablet,2024,8GB,Apple M2,10.9 inches,60Hz,12MP,12MP,7606mAh,20W,iPadOS 17,,,,,,,,,,,,,,
Apple,Watch Series 9,Watch,2023,,,,,,,,,,45mm,Aluminum,Sport Band,LTPO OLED,50m,18 hours,GPS + Cellular,iOS 17+,,,,,,
Apple,MagSafe Charger,Accessory,2023,,,,,,,,,,,,,,,,,,Wireless Charger,iPhone 12 and later,Silicone/Plastic,White,USB-C,1 yearApple,iPad (5th generation),Tablet,2017,2GB,A9,9.7 inches,60Hz,8MP,1.2MP,32.4Wh,Lightning,,,,,Retina display,,Up to 10 hours,Wi-Fi 5; Bluetooth 4.2,,,,,,,

#Iphone Tablets

Apple,iPad Pro 10.5-inch (2nd generation),Tablet,2017,4GB,A10X Fusion,10.5 inches,120Hz,12MP,7MP,30.4Wh,Lightning,,,,,Retina display,,Up to 10 hours,Wi-Fi 5; Bluetooth 4.2,,,,,,,
Apple,iPad Pro 12.9-inch (2nd generation),Tablet,2017,4GB,A10X Fusion,12.9 inches,120Hz,12MP,7MP,41Wh,Lightning,,,,,Retina display,,Up to 10 hours,Wi-Fi 5; Bluetooth 4.2,,,,,,,
Apple,iPad (6th generation),Tablet,2018,2GB,A10 Fusion,9.7 inches,60Hz,8MP,1.2MP,32.4Wh,Lightning,,,,,Retina display,,Up to 10 hours,Wi-Fi 5; Bluetooth 4.2,,,,,,,
Apple,iPad Pro 11-inch (1st generation),Tablet,2018,4GB; 6GB on 1TB,A12X Fusion,11 inches,120Hz,12MP,7MP,29.37Wh,USB-C,,,,,Liquid Retina display,,Up to 10 hours,Wi-Fi 5; Bluetooth 5.0,,,,,,,
Apple,iPad Pro 12.9-inch (3rd generation),Tablet,2018,4GB; 6GB on 1TB,A12X Fusion,12.9 inches,120Hz,12MP,7MP,36.71Wh,USB-C,,,,,Liquid Retina display,,Up to 10 hours,Wi-Fi 5; Bluetooth 5.0,,,,,,,
Apple,iPad Air (3rd generation),Tablet,2019,3GB,A12 Bionic,10.5 inches,60Hz,8MP,7MP,30.2Wh,Lightning,,,,,Retina display,,Up to 10 hours,Wi-Fi 5; Bluetooth 5.0,,,,,,,
Apple,iPad mini (5th generation),Tablet,2019,3GB,A12 Bionic,7.9 inches,60Hz,8MP,7MP,19.1Wh,Lightning,,,,,Retina display,,Up to 10 hours,Wi-Fi 5; Bluetooth 5.0,,,,,,,
Apple,iPad (7th generation),Tablet,2019,3GB,A10 Fusion,10.2 inches,60Hz,8MP,1.2MP,32.4Wh,Lightning,,,,,Retina display,,Up to 10 hours,Wi-Fi 5; Bluetooth 4.2,,,,,,,
Apple,iPad Pro 11-inch (2nd generation),Tablet,2020,6GB,A12Z Bionic,11 inches,120Hz,12MP+10MP Ultra Wide,7MP,28.65Wh,USB-C,,,,,Liquid Retina display,,Up to 10 hours,Wi-Fi 6; Bluetooth 5.0,,,,,,,
Apple,iPad Pro 12.9-inch (4th generation),Tablet,2020,6GB,A12Z Bionic,12.9 inches,120Hz,12MP+10MP Ultra Wide,7MP,36.71Wh,USB-C,,,,,Liquid Retina display,,Up to 10 hours,Wi-Fi 6; Bluetooth 5.0,,,,,,,
Apple,iPad (8th generation),Tablet,2020,3GB,A12 Bionic,10.2 inches,60Hz,8MP,1.2MP,32.4Wh,Lightning,,,,,Retina display,,Up to 10 hours,Wi-Fi 5; Bluetooth 4.2,,,,,,,
Apple,iPad Air (4th generation),Tablet,2020,4GB,A14 Bionic,10.9 inches,60Hz,12MP,7MP,28.6Wh,USB-C,,,,,Liquid Retina display,,Up to 10 hours,Wi-Fi 6; Bluetooth 5.0,,,,,,,
Apple,iPad Pro 11-inch (3rd generation),Tablet,2021,8GB; 16GB on 1TB/2TB,M1,11 inches,120Hz,12MP+10MP Ultra Wide,12MP,28.65Wh,USB-C,,,,,Liquid Retina display,,Up to 10 hours,Wi-Fi 6; Bluetooth 5.0,,,,,,,
Apple,iPad Pro 12.9-inch (5th generation),Tablet,2021,8GB; 16GB on 1TB/2TB,M1,12.9 inches,120Hz,12MP+10MP Ultra Wide,12MP,40.88Wh,USB-C,,,,,Liquid Retina XDR display,,Up to 10 hours,Wi-Fi 6; Bluetooth 5.0,,,,,,,
Apple,iPad (9th generation),Tablet,2021,3GB,A13 Bionic,10.2 inches,60Hz,8MP,12MP,32.4Wh,Lightning,,,,,Retina display,,Up to 10 hours,Wi-Fi 5; Bluetooth 4.2,,,,,,,
Apple,iPad mini (6th generation),Tablet,2021,4GB,A15 Bionic,8.3 inches,60Hz,12MP,12MP,19.3Wh,USB-C,,,,,Liquid Retina display,,Up to 10 hours,Wi-Fi 6; Bluetooth 5.0,,,,,,,
Apple,iPad Air (5th generation),Tablet,2022,8GB,M1,10.9 inches,60Hz,12MP,12MP,28.6Wh,USB-C,,,,,Liquid Retina display,,Up to 10 hours,Wi-Fi 6; Bluetooth 5.0,,,,,,,
Apple,iPad (10th generation),Tablet,2022,4GB,A14 Bionic,10.86 inches,60Hz,12MP,12MP,28.6Wh,USB-C,,,,,Liquid Retina display,,Up to 10 hours,Wi-Fi 6; Bluetooth 5.2,,,,,,,
Apple,iPad Pro 11-inch (4th generation),Tablet,2022,8GB; 16GB on 1TB/2TB,M2,11 inches,120Hz,12MP+10MP Ultra Wide,12MP,28.65Wh,USB-C; fast charge,,,,,Liquid Retina display,,Up to 10 hours,Wi-Fi 6E; Bluetooth 5.3,,,,,,,
Apple,iPad Pro 12.9-inch (6th generation),Tablet,2022,8GB; 16GB on 1TB/2TB,M2,12.9 inches,120Hz,12MP+10MP Ultra Wide,12MP,40.88Wh,USB-C; fast charge,,,,,Liquid Retina XDR display,,Up to 10 hours,Wi-Fi 6E; Bluetooth 5.3,,,,,,,
Apple,iPad Air (6th generation),Tablet,2024,8GB,M2,11 inches,60Hz,12MP,12MP,28.93Wh,USB-C,,,,,Liquid Retina display,,Up to 10 hours,Wi-Fi 6E; Bluetooth 5.3,,,,,,,
Apple,iPad Pro 11-inch (7th generation),Tablet,2024,8GB; 16GB on 1TB/2TB,M4,11 inches,120Hz,12MP,12MP,31.29Wh,USB-C; fast charge,,,,,Ultra Retina XDR display,,Up to 10 hours,Wi-Fi 6E; Bluetooth 5.3,,,,,,,
Apple,iPad Pro 13-inch (7th generation),Tablet,2024,8GB; 16GB on 1TB/2TB,M4,13 inches,120Hz,12MP,12MP,38.99Wh,USB-C; fast charge,,,,,Ultra Retina XDR display,,Up to 10 hours,Wi-Fi 6E; Bluetooth 5.3,,,,,,,
Apple,iPad mini (7th generation),Tablet,2024,8GB,A17 Pro,8.3 inches,60Hz,12MP,12MP,19.3Wh,USB-C,,,,,Liquid Retina display,,Up to 10 hours,Wi-Fi 6E; Bluetooth 5.3,,,,,,,
Apple,iPad (11th generation),Tablet,2025,6GB,A16,10.86 inches,60Hz,12MP,12MP,28.93Wh,USB-C,,,,,Liquid Retina display,,Up to 10 hours,Wi-Fi 6; Bluetooth 5.3,,,,,,,
Apple,iPad Pro 11-inch (8th generation),Tablet,2025,12GB; 16GB on 1TB/2TB,M5,11 inches,120Hz,12MP,12MP,31.29Wh,USB-C; fast charge,,,,,Ultra Retina XDR display,,Up to 10 hours,Wi-Fi 7; Bluetooth 6,,,,,,,
Apple,iPad Pro 13-inch (8th generation),Tablet,2025,12GB; 16GB on 1TB/2TB,M5,13 inches,120Hz,12MP,12MP,38.99Wh,USB-C; fast charge,,,,,Ultra Retina XDR display,,Up to 10 hours,Wi-Fi 7; Bluetooth 6,,,,,,,

# Apple Watches

Apple Watch Series 3,Watch,2017,,S3 SiP with dual-core processor,,,,,,Magnetic charging cable,watchOS 4,38mm/42mm,aluminum; stainless steel; ceramic,,Retina OLED display,50 meters,18 hours,LTE and UMTS; Wi-Fi 802.11b/g/n 2.4GHz; Bluetooth 4.2,iPhone 6s or later with iOS 11 or later,,,,,,
Apple,Apple Watch Series 4,Watch,2018,,S4 with 64-bit dual-core processor,,,,,,Magnetic charging cable,watchOS 5,40mm/44mm,aluminum; stainless steel,,LTPO OLED Retina display with Force Touch,50 meters,18 hours,LTE and UMTS; Wi-Fi 802.11b/g/n 2.4GHz; Bluetooth 5.0,iPhone 5s or later (GPS); iPhone 6 or later (GPS + Cellular) with iOS 12 or later,,,,,,
Apple,Apple Watch Series 5,Watch,2019,,S5 SiP with 64-bit dual-core processor,,,,,,Magnetic charging cable,watchOS 6,40mm/44mm,aluminum; stainless steel; titanium; ceramic,,Always-On Retina LTPO OLED display with Force Touch,50 meters,18 hours,LTE and UMTS; Wi-Fi 802.11b/g/n 2.4GHz; Bluetooth 5.0,iPhone 6s or later with iOS 13 or later,,,,,,
Apple,Apple Watch Series 6,Watch,2020,,S6 SiP with 64-bit dual-core processor,,,,,,Magnetic charging cable,watchOS 7,40mm/44mm,aluminum; stainless steel; titanium,,Always-On Retina LTPO OLED display,50 meters,18 hours,LTE and UMTS; Wi-Fi 802.11b/g/n 2.4GHz and 5GHz; Bluetooth 5.0; U1 chip,iPhone 6s or later with iOS 14 or later,,,,,,
Apple,Apple Watch SE (1st generation),Watch,2020,,S5 SiP with 64-bit dual-core processor,,,,,,USB-C magnetic charging cable,watchOS 7,40mm/44mm,aluminum,,Retina LTPO OLED display,50 meters,18 hours,LTE and UMTS; Wi-Fi 802.11b/g/n 2.4GHz; Bluetooth 5.0,iPhone 6s or later with iOS 14 or later,,,,,,
Apple,Apple Watch Series 7,Watch,2021,,S7 with 64-bit dual-core processor,,,,,,Fast charging with USB-C cable,watchOS 8,41mm/45mm,aluminum; stainless steel; titanium,,Always-On Retina LTPO OLED display,50 meters,18 hours,LTE and UMTS; Wi-Fi 802.11b/g/n 2.4GHz and 5GHz; Bluetooth 5.0; U1 chip,iPhone 6s or later with iOS 15 or later,,,,,,
Apple,Apple Watch SE (2nd generation),Watch,2022,,S8 SiP with 64-bit dual-core processor,,,,,,USB-C magnetic charging cable,watchOS 9,40mm/44mm,aluminum,,Retina LTPO OLED display,50 meters,18 hours,4G LTE and UMTS; Wi-Fi 4 (802.11n); Bluetooth 5.3,iPhone 8 or later with iOS 16 or later,,,,,,
Apple,Apple Watch Series 8,Watch,2022,,S8 SiP with 64-bit dual-core processor,,,,,,Fast charging with USB-C cable,watchOS 9,41mm/45mm,aluminum; stainless steel; titanium,,Always-On Retina LTPO OLED display,50 meters,18 hours,LTE and UMTS; Wi-Fi 802.11b/g/n 2.4GHz and 5GHz; Bluetooth 5.3; U1 chip,iPhone 8 or later with iOS 16 or later,,,,,,
Apple,Apple Watch Ultra,Watch,2022,,S8 SiP with 64-bit dual-core processor,,,,,,Fast charging with USB-C cable,watchOS 9,49mm,titanium,,LTPO2 OLED Always-On Retina display,100 meters,36 hours,LTE and UMTS; Wi-Fi 802.11b/g/n 2.4GHz and 5GHz; Bluetooth 5.3,iPhone 8 or later with iOS 16 or later,,,,,,
Apple,Apple Watch Series 9,Watch,2023,,S9 SiP with 64-bit dual-core processor,,,,,,Fast charging with USB-C cable,watchOS 10,41mm/45mm,aluminum; stainless steel,,Always-On Retina LTPO OLED display,50 meters,18 hours,LTE and UMTS; Wi-Fi 4 (802.11n); Bluetooth 5.3; Second-generation Ultra Wideband chip,iPhone Xs or later with iOS 17 or later,,,,,,
Apple,Apple Watch Ultra 2,Watch,2024,,S9 SiP with 64-bit dual-core processor,,,,,,Fast charging with USB-C cable,watchOS 10,49mm,titanium,,Always-On Retina LTPO2 OLED display,100 meters,36 hours,LTE and UMTS; L1+L5 precision dual-frequency GPS; Wi-Fi 4 (802.11n); Bluetooth 5.3; Second-generation Ultra Wideband chip,iPhone Xs or later with iOS 17 or later,,,,,,
Apple,Apple Watch Series 10,Watch,2024,,S10 chip with 64-bit dual-core processor,,,,,,Fast charging with USB-C cable,watchOS 11,42mm/46mm,aluminum; titanium,,LTPO3 OLED Always-On Retina display; Wide-angle OLED,50 meters,18 hours,LTE and UMTS; Wi-Fi 4 (802.11n); Bluetooth 5.3; Second-generation Ultra Wideband chip,iPhone Xs or later with iOS 18 or later,,,,,,
Apple,Apple Watch Ultra 3,Watch,2025,,S10 chip with 64-bit dual-core processor,,,,,,Fast charging with USB-C cable,watchOS 26,49mm,titanium,,Always-On Retina display with wide-angle OLEDs and LTPO3,100 meters,42 hours,Cellular/satellite; Support for 2.4GHz and 5GHz Wi-Fi networks; Wi-Fi 4 (802.11n); Bluetooth 5.3; L1 and L5 precision dual-frequency GPS; Second-generation Ultra Wideband chip; Supports RedCap for 5G and LTE,iPhone 11 or later with iOS 26 or later,,,,,,

#Samsung Mobile 

Samsung,Galaxy A17 5G,Phone,2025,4GB,Exynos 1330,6.7 inches,90Hz,50MP+5MP+2MP,13MP,5000mAh,25W fast charging,Android 15; One UI 7,,,,Super AMOLED,IP54,Up to 18 hours,5G; Wi-Fi 802.11a/b/g/n/ac 2.4GHz+5GHz; Bluetooth v5.3; USB Type-C,,,,,,USB Type-C,
Samsung,Galaxy A26 5G,Phone,2025,8GB,Exynos 1380,6.7 inches,120Hz,50MP+8MP+2MP,13MP,5000mAh,25W charging,Android 15; One UI 7,,,,Super AMOLED,IP67,Up to 17 hours,5G; Wi-Fi 802.11a/b/g/n/ac 2.4GHz+5GHz; Bluetooth v5.3; USB Type-C,,,,,,USB Type-C,
Samsung,Galaxy A27 5G,Phone,2026,6GB,Snapdragon 6 Gen 3,6.7 inches,120Hz,50MP+5MP+2MP,12MP,5000mAh,25W Super Fast Charging,Android 16; One UI 8.5,,,,Super AMOLED,,Up to 23 hours,5G; Wi-Fi 802.11a/b/g/n/ac/ax 2.4GHz+5GHz; Bluetooth v5.1; USB Type-C,,,,,,USB Type-C,
Samsung,Galaxy A36 5G,Phone,2025,8GB,Snapdragon 6 Gen 3,6.7 inches,120Hz,50MP+8MP+5MP,12MP,5000mAh,45W Super Fast Charging,Android 15; One UI 7,,,,Super AMOLED,IP67,Up to 29 hours,5G; Wi-Fi 6; Bluetooth v5.3; USB Type-C,,,,,,USB Type-C,
Samsung,Galaxy A37 5G,Phone,2026,8GB,Exynos 1480,6.7 inches,120Hz,50MP+8MP+5MP,12MP,5000mAh,45W Super Fast Charging 2.0,Android 16; One UI 8.5,,,,Super AMOLED,IP68,2 days,5G; Wi-Fi 802.11a/b/g/n/ac/ax 2.4GHz+5GHz; Bluetooth v5.3; USB Type-C,,,,,,USB Type-C,
Samsung,Galaxy A56 5G,Phone,2025,8GB,Exynos 1580,6.7 inches,120Hz,50MP+12MP+5MP,12MP,5000mAh,45W Super Fast Charging,Android 15; One UI 7,,,,Super AMOLED,IP67,Up to 29 hours,,,,,,,USB Type-C,
Samsung,Galaxy A57 5G,Phone,2026,8GB,Exynos 1680,6.7 inches,120Hz,50MP+12MP+5MP,12MP,5000mAh,45W Super Fast Charging 2.0,Android 16; One UI 8.5,,,,Super AMOLED Plus,IP68,2 days,5G; Wi-Fi 802.11a/b/g/n/ac/ax 2.4GHz+5GHz+6GHz; Bluetooth v6.0; USB Type-C,,,,,,USB Type-C,
Samsung,Galaxy S22,Phone,2022,8GB,Exynos 2200 / Snapdragon 8 Gen 1,6.1 inches,120Hz,50MP+12MP+10MP,10MP,3700mAh,25W,Android 12; One UI 4.1,,,Dynamic AMOLED 2X,IP68,,5G; Wi-Fi 6; Bluetooth 5.2; GPS; GLONASS; Beidou; Galileo; QZSS,,,,,,Phantom Black,USB Type-C,
Samsung,Galaxy S22+,Phone,2022,8GB,Exynos 2200 / Snapdragon 8 Gen 1,6.6 inches,120Hz,50MP+12MP+10MP,10MP,4500mAh,45W,Android 12; One UI 4.1,,,Dynamic AMOLED 2X,IP68,,5G; Wi-Fi 6E; Bluetooth 5.2; GPS; GLONASS; Beidou; Galileo; QZSS,,,,,,Phantom Black,USB Type-C,
Samsung,Galaxy S22 Ultra,Phone,2022,12GB,Exynos 2200 / Snapdragon 8 Gen 1,6.8 inches,120Hz,108MP+12MP+10MP+10MP,40MP,5000mAh,45W,Android 12; One UI 4.1,,,Dynamic AMOLED 2X,IP68,,5G; Wi-Fi 6E; Bluetooth 5.2; GPS; GLONASS; Beidou; Galileo; QZSS,,,,,,Phantom Black,USB Type-C,
Samsung,Galaxy S23,Phone,2023,8GB,Snapdragon 8 Gen 2 for Galaxy,6.1 inches,120Hz,50MP+12MP+10MP,12MP,3900mAh,25W,Android 13; One UI 5.1,,,Dynamic AMOLED 2X,IP68,,5G; Wi-Fi 6E; Bluetooth 5.3; GPS; GLONASS; Beidou; Galileo; QZSS,,,,,,Phantom Black,USB Type-C,
